id,title,year,semester,studentid,advisor
76,"Lojistik Sektörünün Gelişimi Ve Lojistik Hizmeti Alan Farklı Sektörlerin Karşılaştırılmasının Kalite Fonksiyon Yayılımı Üzerinden İncelenmesi",20172018,1,N16112737,"Murat Caner Testik"
77,"Orman Yangın Helikopterlerinde Ve Hava Ambulans Helikopterlerinde Pilotların Uçuş Öncesi Hazırlık Sürelerinin Minimize Edilmesi",20172018,1,N16116315,"Murat Caner Testik"
78,"Pe İçmesuyu Borularında Kullanım Ömrünü Etkileyen Çekme Özelliklerinin Tayini Metodunun Faktöriyel Tasarım Metoduyla Verifikasyonu",20172018,1,N16110582,"Murat Caner Testik"
79,"Çağrı Merkezinde İstatistiksel Süreç Kontrol Uygulamaları",20172018,1,N16119544,"Murat Caner Testik"
80,"Otomotiv Sektöründe Tedarikçi Süreç Denetimi ve Uygulaması",20172018,1,N14311982,"Murat Caner Testik"
81,"Otomotiv Ana Sanayi Laboratuvarı Yanmazlık Testleri Akreditasyonu",20172018,1,N14310999,"Murat Caner Testik"
82,"Havacılık Sanayinde Kök Neden Analizi ve Düzeltici Faaliyet Uygulamaları",20172018,1,N16212118,"Murat Caner Testik"
83,"Sac Kayıp Ölçümlerine Kalı̇te Mühendı̇slı̇Gğinde Taguchı̇ Tasarımı, Deney Tasarımı ve İstatı̇ksel Kalı̇te Kontrol Teknı̇klerı̇nin Uygulanması",20172018,1,N14112724,"Murat Caner Testik"
84,"Galvanizlenmiş Kafes Direk Üretimi Yapan Bir Firmada Galvaniz Departmanı Kapsamında Ürünlerde Meydana Gelen Kaplama Kalınlığı Hatalarının İyileştirilmesi İçin Yapay Sinir Ağı Uygulaması",20172018,1,N16112133,"Murat Caner Testik"
85,"Havacılık ve Uzay Sanayiinde Montaj / Alt-Montaj Seviyelerinde Risk Tabanlı Süreç Analizi ve Kalite İyileştirme Çalışmalarının Tetiklenmesi",20172018,1,N15217329,"Murat Caner Testik"
86,"Mühimmat Makinaları Üretimi Yapan Firmada Üretim Sürecinin İyileştirmesi, Mühimmat Üretim Hattında Verimliliğin Artırılması Ve Kalite Kontrol Uygulaması",20172018,1,N15212862,"Murat Caner Testik"
87,"Yüzey Montaj Elemanları Lehimlenmesinde Görülen Kısa Devre Hatasının Azaltılması İçin Kart Dizgi Proses Parametrelerinin Optimizasyonu",20172018,1,20727543,"Murat Caner Testik"
88,"Avrupa Birliği Eko Etiketi ve Türkiye'de Çevre Etiketi Uygulama Aşamaları",20172018,1,N16115310,"Ayşenur Uğurlu"
89,"Savunma Sanayi’sindeki Hava Araçlarının Ağırlık ve Denge Prosedürlerinin Standart, Hizli ve Emniyetli Olması İçin Mevcut Sistemin İncelenmesi",20172018,2,N16215662,"Murat Caner Testik"
90,"Oksidan Üretiminde Kıvamı ve PH’ı Etkileyen Değişkenlerin İstatistiksel Süreç Kontrolü",20172018,2,N16110905,"Murat Caner Testik"
91,"Askeri Sınıf Batarya Şarj Cihazı Tasarımında Kalite Fonksiyon Yayılımı",20172018,2,N16210877,"Murat Caner Testik"
92,"Bilgisayar Tabanlı Eğitim Sistemlerinde Hata Ölçümü ve Kök Sebep Analizleri ile Örnek Bir Uygulama",20172018,2,N16212115,"Murat Caner Testik"
93,"Kaizen Metodolojisi ve Otomotiv Sektöründe Kaizen Uygulamaları",20172018,2,N16217709,"Murat Caner Testik"
94,"EFQM Mükemmellik Modeli ve Özdeğerlendirme: Enerji Sektörü Örneği",20182019,1,N17115848,"Murat Caner Testik"
95,"Etkin Bir Kalite Aracı Olarak Hoshin Kanri ve Küçük İşletmelerde Uygulanabilirliği",20182019,1,N17139391,"Murat Caner Testik"
96,"Sert Eloksal ile Kaplanmış 6061 Serisi Alüminyum Alaşımlarının Çap Değişkenliğinin KFY ve Bölünmüş Parseller Deney Tasarımı Kullanılarak İyileştirilmesi",20182019,1,N17111688,"Murat Caner Testik"
97,"TS ISO 31000 Risk Yönetim Standardı Yazılım Projelerinde Risk Yönetimi",20182019,1,N17132407,"Murat Caner Testik"
98,"Test Kablosu Üretim Sürecindeki Hataların FMEA Yöntemi ile Minimize Edilmesi: Savunma Sanayi Firması Örneği",20182019,1,N17114039,"Murat Caner Testik"
99,"Alçı Ürünlerinin Priz Süresine Etki Eden Faktörlerin İncelenmesi  ve Üretim Kayıplarının Azaltılması",20182019,1,N17117212,"Murat Caner Testik"
100,"Transformatörlerde Meydana Gelen Direnç Dengesizliği Probleminin Deney Tasarımı Metodu ile Değerlendirilmesi ve Kalite Kontrol Grafikleriyle İzlenip İyileştirilmesi",20182019,1,N17114915,"Murat Caner Testik"
101,"Kaynak Kaçakları Tespit Etme Metotları ve Tespit Edilen Metotların Geliştirmesi",20182019,1,N17118006,"Murat Caner Testik"
102,"Kompozit Malzeme Üretiminde Nemin Kalite Üzerine Etkisinin DMAIC Methodu ile Analizi",20182019,1,N17132305,"Murat Caner Testik"
103,"Hayvansal Atık Yönetimi: Küresel Isınmaya Yol Açan Sera Gazlarının Azaltımı, Yenilenebilir Enerji Üretimi ve Hava Kalitesinin İyileştirilmesi",20182019,1,N16214521,"Ayşenur Uğurlu"
104,"Stabilizasyon Yöntemleri İle Zemin İyileştirmesinde Malzeme Kıyaslaması",20182019,1,N17114066,"Özlem Müge Testik"
105,"Bir İşletmede Toplam Kalite Yönetimi Uygulaması",20182019,1,N17113094,"Özlem Müge Testik"
106,"Isı Ölçüm Cihazı İçin Üretilen Tapa Ölçümleri İstatistik Süreç Kontrolü",20182019,1,N17112978,"Özlem Müge Testik"
107," Mayından Koruyucu Kıyafetlerde Kullanılan İç Balistik Kumaş İçin Ahp Yöntemi İle Tedarikçi Seçimi",20212022,2,N20232989,"Volkan Sönmez"
108," Mayından Koruyucu Kıyafetlerde Kullanılan İç Balistik Kumaş İçin Ahp Yöntemi İle Tedarikçi Seçimi",20212022,2,N20232989,"Volkan SÖNMEZ"
109,"Hata Türleri Ve Etkileri Kritiklik Analizi (Fmeca) Yönteminin Aviyonik Bileşenler İçin Tasarıma Yönelik Uygulanması",20212022,2,N20232099,"Murat Caner TESTİK"
110,"Temiz Oda Montaj Hattında İş Etüdü Ve Yalın Üretim Uygulaması",20212022,2,N20231958,"Volkan SÖNMEZ"
111,"Tedarikçi Yönetimi",20212022,2,N20238507,"Murat Caner TESTİK"
112,"Satın Almanın İyileştirmesi İçin Süreç Ve Yazılımın Oluşturulması, Sisteme Entegrasyonu",20212022,2,N20234781,"Özlem Müge TESTİK"
113,"Buharlı Sterilizatör Üretim Sürecindeki Risklerin Kemıra-M Yöntemi İle Önceliklendirilmesi",20212022,2,N20230210,"Murat Caner TESTİK"
114," Analitik Hiyerarşi Prosesi İle Tedarikçi Seçimi Ve Kategorize Edilmesi",20212022,2,N20231376,"Murat Caner TESTİK"
115,"Savunma Sanayi Firmalarında Çevre Yönetim Sistemi",20212022,2,N20234557,"Ayşenur UĞURLU"
116,"Teklif Verme Sürecinin Yalın Altı Sigma İle İyileştirilmesi",20212022,2,N20231575,"Murat Caner TESTİK"
117,"Sürdürülebilir Kalkınma İçin Kömürün (Linyit) Vazgeçilmezliği",20212022,2,N20230124,"Ayşenur UĞURLU"
118,"Savunma Sanayi Sektöründe Tedarikçi Seçimi, Değerlendirme Ve Yeniden Değerlendirme Problemi Ve Çözümü",20212022,2,N20236623,"Volkan SÖNMEZ"
119,"Yarı İletken Üretiminde Darboğaz Analizi",20212022,2,N20235096,"Volkan SÖNMEZ"
120,"Yük Hücresi Kalibrasyonunda Süreç Kontrol",20212022,2,N20237788,"Murat Caner TESTİK"
121," Fmea Risk Analizi Yönteminin Tanımlanması Ve Firma Süreçlerinde Uygulaması",20212022,2,N20239749,"Murat Caner TESTİK"
122," X Füzesinin Entegrasyon Ve Kalite Kontrol Süreçlerinin Altı Sigma Yaklaşımıyla İyileştirilmesi",20212022,2,N20234669,"Murat Caner TESTİK"
123,"Havacılık Emniyet Yönetim Sisteminin Fmea Entegrasyonu İle İyileştirilmesi",20212022,1,N20138797,"Volkan SÖNMEZ"
124,"Boya – Kaplama Sürecinde Hata Türü Ve Etkileri Analizi",20212022,1,N20138742,"Murat Caner TESTİK"
125,"İstatistiksel Süreç Kontrolünde Tek Ve Çok Değişkenli Kontrol Grafiklerinin Kullanimi Ve Endüstriyel Ekmek Üretim İşletmesinde Bir Uygulama",20212022,1,N20134732,"Murat Caner TESTİK"
126,"Geosentetik Malzemelerde Mukavemetin Arttırılmasına Yönelik Faktörlerin İncelenmesi ",20212022,1,N20131731,"Özlem Müge TESTİK"
127,"Trabzon Hurmasının Tekstürel Özellikleri Üzerine  Farklı Faktörlerin Etkisinin İncelenmesi",20212022,1,N20135645,"Arzu BAŞMAN"
128,"Savunma Sanayinde Deney Tasarımı İle İlgili Bir Uygulama",20212022,1,N20137108,"Özlem Müge TESTİK"
129,"Bir Kompozit İmalat İşletmesinde İstatistiksel Kalite Kontrol Grafiklerinin Uygulanması",20212022,1,N20135286,"Murat Caner TESTİK"
130,"Ev Yapımı Kekin Hazırlanmasında Kullanılan Bazı Hammaddelerin Ve Karıştırma Süresinin Kek Kabarıklığına Etkisinin Optimizasyonu Çalışması",20212022,1,N20136928,"Murat Caner TESTİK"
131,"Hata Türü Ve Etkileri Analizi (Htea) Ve Tasarım Htea Üzerine Bir Uygulama",20212022,1,N20135891,"Volkan SÖNMEZ"
132,"Yalın Yönetim Felsefesi İle Bir Sağlık Kurumunda  5S Sistematiği Aşamaları Ve Bir Örnek Çalışma",20212022,1,N20131031,"Volkan SÖNMEZ"
133,"Ekmek Üretim Prosesinde Nihai Ürün Ağırlığına Etki Eden Değişkenlerin Shewhart, Cusum Ve Ewma Kalite Kontrol Grafikleri İle İzlenmesi",20212022,1,N20132867,"Murat Caner TESTİK"
134,"Araştırma Geliştirme Projelerinde Kaizenin Önemi Ve Kaizen Üzerine Bir Uygulama",20212022,1,N20132199,"Murat Caner TESTİK"
135,"Kompozit Malzeme Yüzeyinde Görülen Kalite Hatasının İstatistiksel Deney Tasarımı İle Modellenmesi Ve Optimizasyonu",20212022,1,N20136662,"Murat Caner TESTİK"
136,"Kimyasal Oksijen İhtiyacı Analizinin Çoklu Regresyon Metoduyla Tahmin Edilmesi",20212022,1,N20138298,"Volkan SÖNMEZ"
137,"Rotasyon Dişli Şaftı Emniyet Mekanizması İstatistiksel Proses Kontrolü",20212022,1,N20137203,"Murat Caner TESTİK"
138,"Deney Tasarımı Çalışmalarında Ortogonal Dizi Matrisi, Tam Faktöriyel Ve Kesirli Faktöriyel Analiz Metodlarının Karşılaştırılması",20212022,1,N20138679,"Murat Caner TESTİK"
139,"Otomotiv Sektöründe Oem’E Hizmet Veren Bir İşletmede Ölçüm Sistemleri Analizi Uygulamaları",20212022,1,N20135675,"Murat Caner TESTİK"
140,"Odun Pelet Brülöründe Emisyon Değerlerinin Optimizasyonu",20212022,1,N20132358,"Murat Caner TESTİK"
