id,title,year,semesters,program,company,abstract,keywords
88,"Data Mining for Warehouse Layout Design",20162017,2,2,53,"Warehouses are the base units at firm. The effectiveness at a warehouse is a critical issue. The
most crucial responsibility of warehouses is providing raw materials to production lines. When
the needed raw materials cannot be prepared on time, the probability that production may stop
arises. Therefore, the problems of the warehouses should be solved immediately when they are
realized. The most important reason of these problems is ineffective layout design of
warehouses. Therefore, at first layout of the warehouses should be considered to find a solution.
The most noticeable solution applied for this problem is optimization models. However, in this
project, a new method for layout design will be applied. Data mining algorithms will be used to
establish a layout design at the warehouse of Emek Electrical Industries Inc. with the assistance
of multidimensional scaling method. By using the data obtained from multidimensional scaling
method, linear programming was used as final step.
","Warehouse Layout; Data Mining; Association Rules; Clustering; Multidimensional Scaling; Linear Programming"
89,"Lean Production in a Modular Manufacturing System",20162017,2,2,825,"Companies want to produce their products in most efficient way. This study focused on the
investigation of an efficiency problem in production. Efficiency can be increased many ways and
can be caused by too many different subjects. Firstly, workflow of current system was
understood in detail for pointing out main problems which are under scope of industrial
engineering. Hence, environment, machine, method, measurement and manpower related rootcauses
are defined. According to literature review and both company and academic advisors'
recommendations methodologies were identified. These are 5S with addition safety(ergonomics)
as 6S and standardization methods in order to increase efficiency in production. Afterwards,
analyses were done according to related order with using defined methodologies. In the scope of
standardization, Petri Nets was used to simulate and visualize production area of company for
suggested standardized and flexible system respectively not cyclic. Furthermore for supporting
standardization logically and computationally matrix methodology and linear programming was
used respectively. Planning was made for gathering more accurate results in future studies.

","Efficiency; 6S; ergonomics; standardization; lean manufacturing; modular design; Petri Nets; cyclic; not cyclic; linear programming; matrix"
90,"Optimization of Stand-Alone PV/Wind/Battery Hybrid System for Street Lights",20162017,2,2,5,"It is known that hybrid renewable energy systems are more efficient than other energy sources in terms of power stability and reliability while operating at minimum cost.Design and analysis of photovoltaic/wind hybrid system to supply lighting load for street lights between Main Gate A and Flagstaff will be discussed. Economical, enviromental and health issues of hybrid renewable energy will be considered.The procedure was for 56 street lights located at Hacettepe Beytepe Campus Road which starts by entering Main Gate (A) and ends after 4 kilometers approximately. The study focuses on estimating and collection of the basic meteorological data of solar radiation and wind speed, and then standalone system optimization simulation model was developed using the renewable energy system software HOMER.Four different alternatives will be compared. Aiming the minimum cost and required power, results shows that hybrid system with 36 watt LEDs would be profitable. At the end of the cost analysis, it will be seen that the payback period is 5.39  years.","Hybrid system, Solar, Wind, Generator, Optimization, HOMER"
91,"Prioritization of Orders for Specific Time Intervals",20162017,1,2,506,"Customer order prioritization is an important issue for the manufacturing companies.
Companies may have limited place- income for stocks, production capacity etc. In this project, it
is focused on a multi criteria decision making problem, order prioritization. It is observed that
producing in an amount exceeding production capacity is expected in a specific time period.
Detecting these time intervals have already done in a day of week. Then, delivery date of some
orders needs to be postponed. In order to achieve that, there is going to be developed DSS by
using Excel. Customer satisfaction, making more reliable changes on the dates, improving
planning, reducing costs, ensuring production and sales communications integrity, increasing
brand value and being more accurate about this process are expected gains of this study. To
achieve these goals, possible criterions that can affect the sequencing are collected, analyzed to
get independent- applicable ones. To sequence the orders, AHP method is used to find relative
importance and then using these values after computations, the scores of the orders are found.
These orders are wanted to order because of the excession of capacity art that time interval. So,
designed Excel sheet gives the user a suggestion about this problem. So, delivery date of orders
will be postponed according to this system that is expectation of this study. For integration that
study to SAP, a meeting is going to be made with consultants. All detailed information is
explained throughout the report.

","Order Prioritization; Multi Criteria Decision Making; Analytic Hierarchy Procedure: AHP; Decision Support System; Prioritization"
92,"Optimization of Operating Room Utilizations at Hacettepe University Hospital",20162017,2,2,8,"This paper deals with the problem of operating room (OR) utilizations and the waiting time of
the elective surgeries. At Hacettepe Hospital, operating rooms are not used in a systematic way
and that causes overutilization or underutilization problems. Optimizing utilizations for each
department by regulation of the operating rooms will be maximizing number of operations done
and patients being served. Additionally, this will be helping to solve the waiting time problem
for the surgical treatment and conflict between departments. A system makes OR utilizations
higher will be suggested to the Operating Room Manager of the Hacettepe University Hospital. 

","Simulation Modelling; Operating Room Optimization; Utilization of Operating Rooms"
93,"Dynamic Production Scheduling Algorithm for Arçelik Dishwasher Plant",20162017,2,2,16,"In the developing world, it is necessary to increase production as much as possible the
amount of consumption increases. This obligates producers to respond to wide range of product
demands in the competitive market. In this context, the object of the project is to develop a
dynamic production scheduling algorithm that can work according to the changeable demands for
the inner body production unit in the Ar&cedil;elik Dishwasher Plant.<br><br>
The overall problem of the project is to solve the problems in adapting the dynamic
production plans to the production line. Production area has layout that contains parallel montage
lines in two different areas and there are some connections between montage lines. Therefore, we
will need to construct an software algorithm around a mathematical model in which includes
many constraints and time factors. So, integer programing optimization has become one of the
most important methods. In addition, it is expected to use statistical simulation for converging
real capacities of work stations. The literature review is made to obtain a method that could
integrate 2 limits such as minimizing the flow time and short production time. Because of this
reason, integer programming is more appropriate for establishing the goals of the project. The
required data like total stopping time, operation time etc. is analyzed for integrating into
software. The analysis results and obtained values are mentioned in the Analysis and Results
section. The obtained information in Analysis and Results section is used to evaluate more
realistic simulation results. General issues about implementing the project is mentioned in the
Discussions section. As a result of this project, it is expected that the instantaneous integration of
the production plan and the feasible production plan reports will be presented by the software and
this can decrease the amount of scrap and targeted to the high number of OEE with low setup
numbers. It is aimed to reduce machine idle-time and eliminate production scheduling problems. 

","Shortest processing time method; scheduling; mathematical programming; production planning; statistical simulation"
94,"A Study about Perishable Inventory Planning on Supermarkets",20162017,2,2,826,"The aim of this project is to prepare different inventory policies for perishable items with the
high return rate in supermarkets. In this project to be carried out with Yunus Market, firstly the
items with high return rate is going to be determined and then alternative inventory policies will
be recommended to the company according to the characteristics of these items.<br><br>
In this final report, general information about sector, company and perishable items, and the
study of multi criteria ABC classification and its results will be available. In addition to the
previous reports, the studies of recommended inventory policies for different item classes (A, B
and C Classes) were added to the report in various ways. In discussions section, the impact of
various topics on the project was discussed. Literature research was mentioned about previous
studies on similar topics and tried to show different aspects of this work. In the scope section, the
scope of the project will be understood in detail. The definition of the problem, the objectives of
the project, real life constraints of the project, the relationship between other disciplines and
industrial engineering during the project, and ethical considerations could be reached in the
scope section.<br><br>
The methods applied in this study are detailed in the methodology section. Finally, the Gantt
chart was used to observe the history and development of the project.

","Perishable Inventory; Multi Criteria ABC Classification; Supply Chain Management; Inventory Policies"
95,"A Decision Support System for Container Management",20162017,2,2,208,"In manufacturing, how to feed materials to the assembly lines and how much to keep them
in inventory are important questions. For automotive assembly processes, from top to bottom,
there are thousands of different parts used in assembly. In T&uuml;rk Trakt&ouml;r, there are large, small,
heavy, light, expensive, cheap parts used in assembly with high variations. As an inventory system,
there are intermediary areas in between main warehouse and assembly lines. Thousands of types
of parts are being stored at those intermediary areas as Work-in-process (WIP) inventories, in
several kinds of containers and with determined levels of inner quantities in those containers.
Because of the difference of demand for each part, high inventory days and shortages occur in
those areas, these cause corruption of some parts and also missing the production tempo, hence
high failed part costs. Decision of these feeding types and inner quantities are determined with
heuristics, in T&uuml;rk Trakt&ouml;r. In this project, a model is presented to support decisions of those
feeding types and inner quantities for each part. By this, it is aimed to have better feeding type and
inner quantity decisions to prevent high inventory costs and to better choose suitable feeding
methods of each part.
",
96,"Material Handling Equipment Selection for a Project Based Steel Factory",20162017,1,2,392,"This project has been done for G&uuml;lermak A.S. which is a project based steel factory. The studies
which have been done for suggesting new material handling equipment for outside storage yard
of the factory.<br><br>
Thus in every manufacturing organization material handling places an important role in
G&uuml;lermak A.S. too. The project crew was focused on material handling processes in outside
storage yard of the factory. In the outside storage yard there are three main types of raw
materials. These are tubes, profiles and sheet metals. These raw materials have been moved with
mobile or portal cranes to first operation and this project were done for creating an alternative
equipment list for this material handling process.<br><br>
A better material handling process can constitute a lot of positive affects like cost reduction, time
saving, more efficient work flow, greater job satisfaction and increasing production. The project
provides an alternative list for both types of cranes which have been composed according to
analyses have been done during lifecycle of the project. If the company will decide to change the
current material handling equipment in future results of this project can be useful resources.
The works presented in this report can be an example study for selecting material handling
equipment and instructive report for other similar projects.","Material Handling; Outside Storage Yard; New Alternatives"
97,"Vehicle Route Planning in Ozrize",20162017,1,2,827,"In recent years, distribution systems have been occurred more complex because of increasing network. In the increasing competitive environment, one of the most effective way to reduce costs is to plan vehicle route. Vehicle routing problem is the most important problem in distribution systems because in real life, vehicle routing problem has a high rate of applicability. In this study, vehicle route is tried to plan by applying Savings method under certain constraints such as capacitated vehicle and time. Due to the complexity of the problem, a heuristic method has been choosen. Since the company has a wide distribution network, the vehicle route is planned only for the 4th. Region which includes Umitkoy, Beysukent, Hacettepe and Bilkent. In the region, there are 74 active customer points and data about the points belong to Ozrize. The python program was used to evaluate the distances and savings which are required to apply method. First of all, only capacitated vehicle constraint was considered but then time constraint was added and solved to increase the reality of the problem. In this way, two different route have been obtained. The company distributes the product with at least 5 vehicles for the 4th region but according to the result of this study 4 vehicles are enough to distribute. In addition, the total distribution cost was calculated based on the fuel consumption.",
98,"Layout Design Of Raw Materials Stock Area In G&uuml;lermak",20162017,2,2,392,"This report relates to layout design of factory of G&uuml;lermak Heavy Industries Construction and
Contracting Co. Inc. in Ankara. This project is limited to layout design of raw materials
stock area of factory. These raw materials are sheet metals, profile metals and tubes. The main
objectives of this projects are increase the space floor utilization and decrease cost. This
arrangement includes the classification of these materials and their placement in stock area. The
classification is based on the quantities and qualities of use of these materials in the production.
In order to be able to handle these objectives, we will develop mathematical algorithm.
Simulation was made to compare current layout design with new layout design","Layout Design; Space Allocation and Assignment; Class-based Storage"
99,"Receiving Area New System Optimization and Integration",20162017,2,2,139,"This report is about the receiving area of the company, FNSS. Receiving area is the starting point of production system and any substantial problem in this area is cumulatively affecting the whole system. The aim of this project is minimizing the cost, redesigning the layout, designing the job descriptions and creating the new system for sorting of the material.<br><br>
Process starts when the materials arrive at the receiving area and finishes when the materials are put in the warehouse. Fundamental problem of this project is that any sorting systems are not occurred in any section of receiving area. This is causing the delay and cost to company. As mentioned before, because of that it is a main problem, the main purpose of this project to solve this problem and integrate the current system. Also layout is the cause of this problem. Receiving area size is not enough, especially in rush-hours, materials are being put outside of the lines or empty spaces and it is creating the complications and materials to be lost, also decreasing the performances of workers. Unedified section area/border is effecting negatively the line formation and knowledge of the material locations. As a result, searching the materials task is taking redundant time and energy of the workers.<br><br>
In order to eliminate these problems of the receiving area, -that are caused by intricacies of the system- first, an algorithm will be developed to sort the in-coming materials, in a certain sequence. This algorithm will be integrated with an ERP system to get the necessary data. To control, that the materials are being processed according to the sequence an automatic identification and data capture system will be used. The layout of the area will be redesigned to better work with the system and a new rack system will be established.
","Sorting System; Layout, Receiving Area; RFID; Rack System; Warehouse Management; ERP Systems"
100,"Comparison of ARIMA, NN and Hybrid Models for Irregular Demand of White Goods",20162017,2,2,16,"There are many demand forecasting systems in different fields. In this study, we will deal with
demand forecasting problem in white goods sector. We will examine past years' data of certain
products that have irregular demands. While we are dealing with problem, we use different
types of forecasting methods that we introduce in methodology section. At the same time, we
will try to correct the missing data, so that our analysis will become more meaningful. Our goal
is to find a meaningful result with one of these methods and thus establish a proper demand
forecasting system. By accomplish this we will reduce cost of shipment and stock keeping cost.
However, most importantly we will ensure that dishwasher factory's production targets are
achieved without penalty.
","Demand forecast; white goods; Time Series; Forecasting Methods"
101,"Analysis, Modeling and Optimization of the Warehouse of REHIS Business Sector at ASELSAN",20162017,2,2,1,"A well designed storage area improves the inventory investment of a company, increases
efficiency of warehouse processes. Because of not well designed warehouse system, workers waste
time during the preparation of materials, and projects face the risk of not being completed on time.
Each project has its own kits and the main problem is delaying during the kit preparation. Our
graduation project focused on the warehouse optimization to improve picking process at REHIS
Business Sector of ASELSAN.<br><br>
A fishbone diagram was constructed to focus on essential problems. In the previous section
of the project, material arrangement study was achieved by constructing a user interface in
MATLAB. According to material classes, materials were placed respectively by beginning from
the best feasible area. After the material placement process, workers were reassigned to best
feasible areas to achieve workloads as uniform as possible and optimal working system. This
arrangement was a part of the solution steps to reach best feasible solution for the kit preparation
process in the warehouse. At first, a mathematical program was constructed to see the objective
function and constraints of the worker arrangement study. Then, a heuristic approach was used to
assign workers optimally whether the condition of the materials are.<br><br>
In this stage of the project, work order list system was planned with heuristic approach
using MATLAB to decrease travelled distance of workers during kit preparation process.Then, the
current and the developed system were compared by using some simulation techniques to see the
improvement of the kit preparation process.
","Warehouse System; Picking Process; Material Placing; Assignment; Work Order Planning; Storage Policy; AHP Analysis; ABC Classification; MILP; MP; User Interface;
Simulation; Heuristic Approach"
102,"Product Assortment and Space Allocation for Vivense Showrooms",20162017,1,2,756,"The Internet leads to coming up of new sectors and changing of existing sectors. E-commerce, is
one of terms used with the internet. This new industry introduced new business principles, as
well as new strategies for achieving these principles. One of the new strategy is space
management and product selection for stores. Retailers need to assign limited store space to a
growing number of product categories such that sales and other performance metrics are
maximized. The purpose of this project is to develop a model for product assortment
optimization and space allocation. The model determines the right products to include in a
showroom's assortment and their space percentages in the showroom. As a result of the project
21 products are selected by model to display in Vivense showroom.
","e-commerce; furniture industry; product assortment; retail; showrooming; space allocation"
103,"ERP's Place for Medium Sized Firms",20162017,1,2,646,"In todays world , supply chain management is crucial to stay competitive and information is the most important part of the supply chain management. Information gives the chance of improving responsiveness and efficiency at the same time to the firms. Recently, new advanced information technologies appeared. In this project , one of the the new advanced information systems which is ERP system , will be aimed by the project team. ERP is a software management system that contains several functions for most of the areas of companies and it aims to maximize the performance of those areas. ERP's usage provides lots of advantages to companies but at the same time this system's price is high. Price is not a key factor for the big size firms, whereas the medium size firms must analyze it clearly because it can cause them to shipwreck. This project's objective is to analyze a medium size firm, try to implement ERP to firm's management system, at the end of analyses decide whether ERP is useful or not for this firm. Main purpose of this project is determination of benefits of ERP to a medium size firm.
","ERP Implementation; Information Systems; Productivity; ERP"
104,"Facility Location in Supply Chain Design for a New Company",20162017,1,2,0,"This project focused on selecting  the optimal facility location for a new bakery which has not any facility and demand points. To solve the problem, the P-median problem method is used and the datas are collected from another bakery. Facility location is determined according to the result of the project.
",
105,"An Improvement Study for Warehouse Layout at MSIM's Blackpark: A Layout Design at a Project-Based Company",20162017,1,2,369,"Warehouses are the starting point of any production in a production company. They must
be easy to navigate and the operations in the warehouse must be efficient. The focus of this paper
is a project based sheet metal processing company's warehouse. ABC analysis and a heuristic
method will be used to design and suggest a new layout for the company's warehouse. The
current layout of the warehouse and current problems are discussed in the problem definition and
introduction sections of the report. Related researches and their relevance with this project are
discussed in literature review section. ABC analysis, reason of the decision on the heuristic
method and some constraints are discussed in the methodologies section. 
","Warehouse; Layout Design; ABC Analysis; Sheet Metal Industry"
106,"Passenger Demand Forecasting for Anadolujet",20162017,1,2,11,"The Aviation Industry has lots of variables for passenger demands like economic factors, politic events, public and religious holidays, meetings, cultural- art activities, seminars are just some of them. The forecasting accuracy is not good enough for many firms as AnadoluJet because of that reason. The aim of this project is considering effects, flight numbers& weekdays- weekends, on passenger and comparing Hold Winter's Methods and ARIMA to forecast the passenger demand of Ankara-Izmir flight line for August with a successful accuracy and finding the most suitable model for our data. When the study reaches an expected result, AnadoluJet will use it for the latest forecasts of this line. This study will be used to determine accurate forecasts other lines too.
","Aviation Industry; forecasting; Ad-Hoc Forecasting; VAR; fare classes; capacity"
107,"Improvements on the Subgroup Area",20162017,1,2,208,NULL,"One-piece; Lean manufacturing; Assembly, Pull systme, 5S, Automotive industry"
108,"Improvement of Quality Control Process",20162017,1,2,30,"This project is being done in MAN Türkiye A.Ş. MAN Türkiye A.Ş. is a bus producer firm. The project is about improvement of quality control process of Skyliner bus which is double decker bus. Main subject of the project is transition to electronic system of quality control process.","Quality control; standardization; transition to electronic system; configuration; visualization; efficiency; cost"
109,"Implementation of Augmented Reality in Turkish Aerospace Industry, Inc.",20172018,2,2,15,NULL,"Industry 4.0; Augmented Reality; Aviation Industry; Work Sampling; Analytical Estimating; Experiment"
110,"Shortage Inventory Prediction",20172018,2,2,139,NULL,"FNSS; item shortages; classification; data mining; CART; inventory management"
111,"Tracking and Tracing Technology for the Production System in TAI - Turkish Aerospace Industries, Inc.",20172018,2,2,15,NULL,"Traceability; Inventory Accuracy; RFID; Petri Nets"
112,"Documentation and Process Management of Quality and Laboratory Departments in General Directorate of Highways (KGM)",20172018,2,2,190,NULL,"Efficiency; BPM; electronic document management; 5S"
113,"Analysis of Social Media Use for Digital Marketing in the Automotive Sector",20172018,2,2,208,NULL,"Digital marketing; text mining; social media; automotive industry"
114,"Growth and Continuous Improvement Project with Lazzoni",20172018,2,2,238,NULL,"Lean Manufacturing; Facility Layout; Data Incompleteness; Customized Production; Simulation"
115,"Warehouse Improvement & Project Prioritization Studies at MGEO Business Sector of Aselsan A.Ş.",20172018,2,2,1,NULL,"Warehouse improvement; Material placement; Mixed Integer Programming; Project prioritization and selection"
116,"Material Handling and Facility Layout Study for a Project-Based Company",20172018,1,2,921,NULL,"Material Handling; Facility Layout; Project-based Company; Layout Design; Product Categorization; Transportation Cost; From-to chart; Relationship chart"
117,"Alternative Job Shop Scheduling for Dunapack Production Line",20172018,2,2,922,NULL,"Job Shop Scheduling; Assignment Method; Branch and Bound; Integer Programming"
118,"A Demand Forecast Study in KAREL",20172018,2,2,51,NULL,"Time Series; ARIMA; Bayesian Networks; Demand Forecast"
119,"Material Flow Optimization",20172018,2,2,139,NULL,"Material Flow Optimization; Vehicle Loading; Vehicle Routing"
120,"Capacity Increase Studies by Changing Buffer Level at Arçelik Dishwasher Plant",20172018,2,2,16,NULL,"Durable good production; buffer elimination; buffer allocation; cycle time reduction; blocking and starving; white goods sector"
121,"The Effect of Setup for Production Planning Model in Flexible Manufacturing Systems",20172018,2,2,0,NULL,"Flexible Manufacturing System; Multiperiod; Multistage; Set-up"
